name,roi,date_event,time_event,team_home,team_away,rate,header,forecast,like,dislike,date_publish
"Pavel Lonely",+7.60%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.85,"ПОБЕДА 1","Конечно Астана, должны проходить здесь на классе, довольно неплохи.",0,0,"Вчера в 22:03"
"Владислав Мунтяну",-9.22%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.80,"ПОБЕДА 1","Здесь по моему мнению должны побеждать казахи, т.к. они показывают офигенный футбол в рамках лиги",0,0,"Сегодня в 00:39"
"Natte Football Blog",-5.72%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.79,"ОБЕ ЗАБЬЮТ (НЕТ)","Я все матчи по ЛЧ иду по низам, эта игра не является исключением",0,0,"Сегодня в 00:47"
"Я Ёж",+20.33%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.90,"ТОТАЛ УГЛОВЫХ БОЛЬШЕ (11)","Что то много угловых в квалах ЛЧ 
тренд жесткий надо ловить
+ за своих буду болеть
грузины всегда были автобусные 
а Астана Арена - место крупных побед ( привет от Камбэка против Дании с 0 - 2 )
против мощного по корнерам Ордабасы в гостях было 11 и это в кубке который просто слили перед ЛЧ 

Явный ТБ скорее всего 
не вижу низы",0,0,"Сегодня в 01:01"
"Alex Holod",-8.88%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.97,"ТОТАЛ МЕНЬШЕ (1.5)","У Астаны есть огромные проблемы с реализацией, Динамо попробует удержать нули",0,0,"Сегодня в 01:51"
"Илья(ExperT RB) ♋︎❻❾✅",+14.02%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.48,"ФОРА 1 (-1)","Думаю, что Астана уверенно должна побеждать дома. Удачи им!",0,0,"Сегодня в 07:25"
"Алексей Невский",-25.41%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.00,"ДВОЙНОЙ ШАНС X2","Поверю в Динамо Тбилиси, в своём чемпионате безоговорочный номер один, сильно выделяются, может и в еврокубках смогут",0,0,"Сегодня в 10:13"
"Рома  Егоров",-10.29%,"12 июл",14:00,"Фейеноорд","Брюгге",1.68,"ТОТАЛ БОЛЬШЕ (3)","Интересная вывеска, если учитывать, что это товарняк, то возможно будут голы. Если бы команды играли в какой-нибудь квалификации ЛЧ, то я бы возможно взял тоже самое. Составы, и там, и там хорошие.",0,0,"Сегодня в 12:08"
"Рома  Егоров",-10.29%,"12 июл",14:00,"Саутгемптон","Бенфика",1.57,"ОБЕ ЗАБЬЮТ (ДА)","Так же интересная вывеска сегодня. Чемпион Португалии против бывшего клуба АПЛ. Святые вылетели в том сезоне, хотя находились там очень долгое время. В товарищеском матче не стоит отрицать того, что они могут забить свой гол.",0,0,"Сегодня в 12:10"
"Артём Angers",-1.11%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.75,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 ПО УГЛОВЫМ БОЛЬШЕ (3.5)","Астана - Динамо Тбилиси. Лига Чемпионов, 1-й квалификационный раунд. Не думаю что у хозяев здесь будет преимущество, команды одного уровня. Прогноз УГЛ2Б (3.5).",0,0,"Сегодня в 12:12"
"Лысый из Даркофф",+0.10%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.88,"ТОТАЛ МЕНЬШЕ (1.5)","Очень уж аккуратно играют команды в этом раунде, думаю и тут минимум голов",0,0,"Сегодня в 12:27"
"Артём Победный",+10.64%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.77,"ПОБЕДА 1","Астана сильна на своём поле и должна без особых проблем обыгрывать Динамо",0,0,"Сегодня в 12:27"
"Lucky Winner",-5.20%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.98,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 БОЛЬШЕ (1.5)","Астана дома вполне может забить более одного мяча Динамо Тбилиси",0,0,"Сегодня в 12:47"
"Владислав Поздеев",-11.92%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.77,"ПОБЕДА 1","Астана сейчас будет в лучшей форме, все таки чемпионат еще идет у них",0,0,"Сегодня в 13:19"
"Владислав Мунтяну",-9.22%,"12 июл",14:00,"Саутгемптон","Бенфика",1.57,"ОБЕ ЗАБЬЮТ (ДА)","Здесь считаю что стоит за грать ставку обез забьют так как обе команды равны",0,0,"Сегодня в 13:21"
"MyOhNess TotAl",-18.75%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.43,"ФОРА 1 (-1)","Дома Астана обязана делать разницу, да и как команда все же сильнее.",0,0,"Сегодня в 14:17"
"ANTOXA STAVOCHKIN",-3.38%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.02,"ДВОЙНОЙ ШАНС X2","Не успела отгреметь финал Лиге чемпионов и вот вновь начинается новый ее сезон. В рамках квалификационного раунда встретятся казахстанская Астана и грузинский Динамо Тбилиси. Это будет первая игра команд. Да прям постсоветский махач намечается. Сейчас Астана уже не та, что была раньше, многие легионеры ушли, а уровень команды не вырос. Хотя на своей поле команда из Казахстана по-прежнему представляет угрозу. При этом не мало и пропускает по сезону. Динамо Тбилиси будет играть на ничью, при этом гости хорошо действуют на контратаках и способны поразить ворота соперника. Ставлю на то, что грузины не проиграют.",0,0,"Сегодня в 14:38"
"Свинский Поступок",+0.70%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.82,"ТОТАЛ МЕНЬШЕ (1.5)","Закрытая игра нас ожидает, с минимальным количеством голевых моментов",0,0,"Сегодня в 15:00"
"Черный Плащ",-12.31%,"12 июл",14:00,"Астана","Динамо Тбилиси",3.00,"ТОТАЛ УГЛОВЫХ БОЛЬШЕ (11)","Кажется,что здесь будет очень много угловых,команды атакующие",0,0,"Сегодня в 15:13"
